ID,Product Name,Price
186,EFELER DİYARI KURU BİBER 80 GR,"222,00 TL"
187,DENİZLİ KOOP. İNCİR CİPS 70 GR,"185,00 TL"
188,DENİZLİ KOOP. DUT KURUSU 80 GR,"115,00 TL"
189,ÇORBALIK KITIR 250 GR,"18,00 TL"
190,BALA KOOP. NOHUT UNU 500 GR,"75,90 TL"
191,BALA KOOP. MISIR UNU 500 GR,"48,00 TL"
192,BALA KOOP. KUNDURU BULGURU 1000 GR,"66,00 TL"
193,ANKAZEN PATLICAN EZME 275 GR,"103,50 TL"
194,ANKAZEN KURU DOMATES EZMESİ 275 GR,"116,00 TL"
195,ANKAZEN KAPYA BİBER SALATASI 250 GR,"103,50 TL"
196,ANKAZEN KAHVALTILIK KURUTULMUŞ DOMATES SOS 310 GR,"125,00 TL"
197,ANKAZEN ARONYA MARMELAT 220 GR,"115,00 TL"
198,ANKAZEN MENEMEN SOS 460 GR,"84,90 TL"
199,ANKAZEN DOMATES SOS 460 GR,"79,90 TL"
200,ALTINKADIN KOOP. MİDYE MAKARNA SADE 500 GR,"25,90 TL"
201,ALTINKADIN KOOP. BORU MAKARNA 500 GR,"26,75 TL"
202,ALAŞEHİR KOOP. YAPRAK CAM KAVANOZ 1000 GR,"219,00 TL"
203,ALAŞEHİR KOOP. YAPRAK VAKUMLU 500 GR,"143,00 TL"
204,AKANA KOOP. ÇİĞ SUSAM TAHİNİ 470 GR,"174,50 TL"
205,AKANA KOOP. ÇİLEK REÇELİ  430 GR,"114,00 TL"
206,A.BACILARI PANCAR PEKMEZİ 400 GR,"154,00 TL"
207,EKŞİ MAYALI KARIŞIK TAHIL UNLU EKMEK (400 G),"45,00 TL"
208,EKŞİ MAYALI KARABUĞDAY UNLU EKMEK (500 G),"67,00 TL"
209,EKŞİ MAYALI ÇAVDARLI EKMEK (400 G),"45,00 TL"
210,DENIZLI KOOP. NANE 80GR,"102,00 TL"
211,ZINDE KOOP. İSOT 100GR,"57,00 TL"
212,ZINDE KOOP. SUSAM 100GR,"45,75 TL"
213,ZINDE KOOP. SARIMSAK 100GR,"59,00 TL"
214,ZINDE KOOP. TATLI TOZ BİBER 100GR,"57,00 TL"
215,ZINDE KOOP. KETEN TOHUMU 100GR,"35,00 TL"
216,ZINDE KOOP. BİBERİYE 100GR,"65,00 TL"
217,YAŞAMYOLU KOOP. ÇİLEK KURUSU 50GR,"126,00 TL"
218,YAŞAMYOLU KOOP. DOMATES TOZU 150GR,"88,99 TL"
219,DENIZLI KOOP. KARIŞIK MEYVE KURUSU (DOĞAL ÜRÜN) 150GR,"203,00 TL"
220,YEŞİLAĞAÇ KOOP. ÇİKOLATALI BEYPAZARI KURUS 350GR,"108,00 TL"
221,YARBAŞI KOOP. TUZLU KAVRULMUŞ KABUKSUZ YER FISTIĞI 250GR,"51,00 TL"
222,FİSKOBİRLİK KAKAOLU FINDIK KREMASI 350GR,"119,00 TL"
223,ZINDE KOOP. FISTIK EZMESİ ŞEKER İLAVESİZ 300GR,"111,00 TL"
224,ZİNDE KOOP. KEÇİBOYNUZLU FINDIK KREMASI 350GR,"115,00 TL"
225,ZINDE KOOP. ÇÖREK OTU 100GR,"52,00 TL"
226,ZINDE KOOP. KIMYON 100GR,"79,75 TL"
227,AKKAYA KÖYÜ AYAŞ DOMATES SALÇASI 680GR,"72,90 TL"
228,SAMANDAĞ KOOP. ACI BIBER SALÇASI 700GR,"189,00 TL"
229,ZINDE KOOP. KREP PARÇACIKLI FINDIK EZMESI 300GR,"152,00 TL"
230,KEPEKLİ GRİSSİNİ 175GR,"34,00 TL"
231,YEŞİLAĞAÇ KOOP. BEYPAZARI KURUSU 400 GR (ADET),"84,00 TL"
232,ZINDE KOOP. FISTIK EZMESİ 300 GR,"71,50 TL"
233,YEŞİLAĞAÇ KOOP. ÇÖREKOTLU BEYPAZARI KURUSU 400 GR,"108,00 TL"
234,GLUTENSİZ GALETA UNU 500 GR (ADET),"145,00 TL"
235,DENİZLİ KOOP. PATLAYAN MISIR 1000 GR (ADET),"69,50 TL"
236,TIREBOLU KOOP. FINDIK İÇİ 500GR (ADET),"590,00 TL"
237,YAŞAMYOLU KOOP. ERİK KURUSU 100 GR (ADET),"82,25 TL"
238,ALAŞEHİR KOOP.ANTEP KARASI ÜZÜM 1000 GR (ADET),"429,00 TL"
239,GRİSİNİ ÇÖREKOTLU 175GR,"35,00 TL"
240,YEŞİLAĞAÇ KOOP. TAM TEREYAĞLI BEYPAZARI KURUSU 400 GR,"120,00 TL"
241,YEŞİLAĞAÇ KOOP. PEKMEZ SUCUK 500 GR,"173,00 TL"
242,YEŞİLAĞAÇ KOOP. TUTMAÇ ÇORBALIK 1000 GR (ADET),"139,00 TL"
243,YEŞİLAĞAÇ KOOP. HAVUÇ LOKUMU 400 GR,"88,90 TL"
244,YEŞİLAĞAÇ KOOP. FINDIKLI PESTİL 400 GR,"117,25 TL"
245,YEŞİLAĞAÇ KOOP. DAMAT TATLISI 200 GR (ADET),"49,90 TL"
246,YEŞİLAĞAÇ KOOP. CEVİZLİ PESTİL 400 GR,"117,25 TL"
247,ÇEREZ 3'LÜ AVANTAJ PAKET 85 GR (ADET),"42,00 TL"
248,ANADOLU BACILARI TARHANA 500GR (ADET),"108,00 TL"
249,YEŞİLAĞAÇ KOOP. KAVRULMUŞ SADE SİYAH AYÇEKİRDEĞİ (500GR),"84,00 TL"
250,YEŞİLAĞAÇ KOOP. ÇİĞ SİYAH AYÇEKİRDEĞİ (250GR),"44,50 TL"
251,YEŞİLAĞAÇ KOOP. KAVRULMUŞ SADE KABAK ÇEKİRDEĞİ (500GR),"188,00 TL"
252,YEŞİLAĞAÇ KOOP. KAVRULMUŞ SADE KABAK ÇEKİRDEĞİ (250GR),"101,50 TL"
253,YEŞİLAĞAÇ KOOP. KABARIK PİŞMANİYE (400GR),"73,00 TL"
254,YEŞİLAĞAÇ KOOP. FİNCAN PİŞMANİYE (250GR),"55,50 TL"
255,YEŞİLAĞAÇ KOOP. ÇİĞ KABAK ÇEKİRDEĞİ (250GR),"92,00 TL"
256,ANADOLU BACILARI KEMALPAŞA TATLISI (250GR),"152,00 TL"
257,EKŞİ MAYALI SİYEZ UNLU EKMEK (400G),"46,00 TL"
258,EKŞİ MAYALI TAŞ FIRIN EKMEĞİ (750G),"49,00 TL"
259,EKŞİ MAYALI TAM BUĞDAY UNLU KÖY EKMEĞİ (400G),"40,00 TL"
260,GLUTENSİZ SADE POĞAÇA  2'Lİ PAKET (180 Gr),"42,00 TL"
261,GLUTENSİZ PEYNİRLİ POĞAÇA 2'Lİ PAKET (180 Gr),"45,00 TL"
262,ZINDE KOOP. BADEM EZMESİ 300 GR,"216,00 TL"
263,GLUTENSİZ ÜZÜMLÜ KEK 2’Lİ PAKET (150 Gr),"45,00 TL"
264,GLUTENSİZ FINDIKLI KEK 2'Lİ PAKET (150 Gr),"51,00 TL"
265,YARBAŞI KAVRULMUŞ TUZLU YER FISTIĞI 500 GR,"95,00 TL"
266,YARBAŞI KAVRULMUŞ TUZLU YER FISTIĞI 1000 GR,"178,00 TL"
267,TUZLU KURABİYE 250 GR,"76,00 TL"
268,GLUTENSİZ UN 1KG,"95,00 TL"
269,GALETA UNU 500 GR,"33,00 TL"
270,ÇEREZ TAM BUĞDAY UNLU 30 GR,"16,00 TL"
271,ROLL TAM BUĞDAY UNLU EKMEK 50 Gr,"4,50 TL"
272,ROLL NORMAL EKMEK 50 GR,"3,60 TL"
273,ROLL TUZ İLAVESİZ EKMEK 50 GR,"3,90 TL"
274,ROLL KEPEKLİ EKMEK 50 GR,"3,90 TL"
275,GLUTENSİZ EKMEK 250 GR,"30,00 TL"
276,ÇEREZ SADE DOLGULU 40 GR,"17,00 TL"
277,ÇEREZ KAKAOLU DOLGULU 40 GR,"18,00 TL"
278,ÇEREZ ACI BİBER AROMALI 30 GR,"16,00 TL"
279,ROLL ÇAVDARLI EKMEK 50 GR,"4,50 TL"
280,ALAŞEHİR KOOP. SULTANİYE ÜZÜM 500 GR,"173,00 TL"
281,GÜDÜL LEBLEBI 500 GR,"124,00 TL"
282,GÜDÜL LEBLEBI 1 KG,"245,00 TL"
283,YEŞİLAĞAÇ KOOP. TARHANA 1000 GR,"144,00 TL"
