product_name,price (TL)
Namet Fermente Acılı Kangal Sucuk Kg,990.0
Namet Fermente Kangal Sucuk Kg,990.0
Cumhuriyet Kangal Sucuk Kg,2190.0
Banvit Piliç Baton Sucuk 450 G,163.9
Sultan Aç Pişir Dilimli Dana Sucuk 60 g,112.9
Namet Baton Sucuk Kg,1799.9
Polonez Biberli Füme Et (Rosebeef) Kg,2990.0
Polonez Macar Salam Kg,1849.9
Polonez Dana İtalyan Salam Kg,3299.9
Başyazıcı Dana Yarım Ay Sucuk 150 g,280.9
Apikoğlu Dilimli Çemensiz Pastırma 90 G,530.9
Polonez Seçme Pastırma,2999.9
Maret Kangal Sucuk 250 G,389.9
Namet Blok Mortadella Salam Kg,1849.9
Namet Dil Füme Kg,3329.9
Polonez Hindi Füme Göğüs Eti Kg,1479.9
Namet Piliç Jambon 50 G,37.9
Coşkun Yarım Ay Kangal Sucuk 300 g,389.9
Polonez Hindi Kokteyl Sosis Kg,689.9
Namet Dana Jambon Kg,1599.9
Fümeci Kuzu Cotto Kg,4999.9
Fümeci Sosis Dana Frankfurter Kg,2449.9
Aytaç Hindi Mangal Sucuk 280 G,214.32
Namet Dilimli Fıstıklı Salam 150 G,284.9
Pınar Gurme Sucuk 250 G,409.9
Maret 5'li Sosis 240 G,309.9
Aytaç Dana Sosis 5'li 190 g,201.52
Sultan Dilimli Dana Pastırma Kg,3499.9
Apikoğlu Klasik Dana Sucuk Kg,2790.0
Polonez Dana Antrikot Füme Et Kg,4599.9
Namet Dana Karabiberli-Fıstıklı Salam Kg,1439.9
Pınar Füme Hindi But Etli Gurme 110 g,113.9
Pınar Füme Hindi Gurme 150 g,126.9
Başyazıcı Fermente Kangal Sucuk Kg,1499.9
Başyazıcı Kavurma Kg,2399.9
Sultan Kangal Sucuk Kg,1249.9
Sultan Dilimli Kavurma 100 Gr,239.9
Sultan Isıl İşlem Görmüş Kangal Sucuk 200 Gr,343.9
Pınar Füme Hindi Karabiberli Gurme 110 g,94.9
Apikoğlu Dana Füme Dil 70 g,374.9
Polonez Füme Et Kg,2990.0
Polonez Tost Jambon,1599.9
Yayla Türk Hindi But İstim Kg,2119.9
Namet Işıl İşlem Görmüş Kangal Sucuk Kg,899.9
Yayla Türk Tavuk Göğüs Bütün Füme Kg,1659.9
Yayla Türk Karabiberli Hindi But Füme 120 G,252.9
Yayla Türk Dilimli Göğüs Füme 120 G,252.9
Yayla Türk Kekikli Hindi But Füme 120 G,252.9
Yayla Türk Karabiberli Hindi But Füme Kg,2119.9
Fümeci Kafkas Usulü Füme Et Kg,5599.9
Fümeci Pate 250 G,517.9
Fümeci Frankfurter Emmentalli Sosis Kg,2549.9
Namet Dana Dilimli Kavurma 200 Gr,384.5
Piliç Jülyen Sosis 250 g,80.72
Yayla Türk Hindi Göğüs Bütün Füme Kg,1999.9
Maret Dana Balkan Sucuk 100 g,149.9
Fümeci Krakova Kg,1079.9
Fümeci Sucuk Fıstıklı Hellimli Baton Kg,2879.9
Fümeci Hindi But Füme Sade Kg,2079.9
Bütün Türk Somonu kg,289.0
Çipura 400-600 g,379.0
Çipura 300-400 g,379.0
Levrek 400-600 g,559.0
Levrek 600-800 g,599.0
Leroy Somon Füme Kırıntı 100 g,84.9
Carrefour Somon Füme 100 Gr,299.0
Balık Dünyası Tüp Kalamar Kg,299.0
Levrek 300-400 g,529.0
Dardanel Somon Teriyaki Onigiri 125 g,89.0
Kocaman Palamut Lakerda 200 g,219.0
Dardanel Ton Onigiri 125 g,89.0
Red Tiger Yengeç Surimi 125 g,109.0
Dardanel Somon Füme 80 g,255.0
Dardanel Sushida California Wrap 120 g,99.0
Leröy Somon Fileto 500 g,449.0
Dardanel Sushida Somon Wrap 120 g,99.0
Leröy Somon Dilim 500 g,399.0
Dardanel Somon Füme 40 g,135.0
Kocaman Sardalya Ançüez Dereotlu Marine 90 Gr,379.0
Kocaman Hamsi Marine Sarımsaklı 200 Gr,189.0
Kocaman Deniz Ürünleri Salatası Marine 200 Gr,399.0
Kocaman Hamsi Marine Garnitürlü 200 Gr,189.0
Kocaman Hamsi Sade Naturel Fieto Marine 200 Gr,189.0
Kocaman Hamsi Kırmızı Biber Soslu Fileto Marine 200 Gr,189.0
Red Tiger Istakoz Surimi 250 g,209.0
Red Tiger Yengeç Surimi 250 g,209.0
Carrefour Ahtapot Salatası 200 Gr,225.0
Carrefour Biber Soslu Hamsi Marine 200 Gr,110.0
Carrefour Füme Uskumru Çiroz Salatası 200 Gr,129.0
Dardanel Boom Roll 370 g,399.0
Dardanel Sushida Tavuklu Onigiri 125 g,89.0
